s,p,o
точіння,перевага,простий інструмент
точіння,перевага,точність
нарізання мітчиком,недолік,спеціальний інструмент
нарізання мітчиком,перевага,технологічність
точіння,перевага,продуктивність
точіння,перевага,універсальність
точіння,недолік,нетехнологічність
фрезерування,перевага,висока продуктивність
фрезерування,перевага,можливість обробки складних форм
фрезерування,недолік,висока вартість інструментів
фрезерування,недолік,складність налаштування
свердління,недолік,високе навантаження на інструмент
свердління,недолік,обмеження у точності
свердління,перевага,універсальність
свердління,перевага,низька вартість обладнання
шліфування,перевага,висока точність
шліфування,перевага,поліпшена поверхня виробу
шліфування,недолік,висока вартість обладнання
шліфування,недолік,низька продуктивність
лазерна різка,недолік,висока енерговитратність
лазерна різка,недолік,обмеження для товстих матеріалів
лазерна різка,перевага,безконтактний процес
лазерна різка,перевага,швидкість і точність
електроерозійне різання,перевага,обробка твердих матеріалів
електроерозійне різання,перевага,можливість обробки складних профілів
електроерозійне різання,недолік,повільна швидкість різання
електроерозійне різання,недолік,велика кількість часу для підготовки
штампування,недолік,потреба в дорогому обладнанні
штампування,недолік,обмеження для малих серій
штампування,перевага,повторюваність і точність
штампування,перевага,висока швидкість серійного виробництва
токарна обробка,перевага,висока точність обробки валів і деталей
токарна обробка,недолік,необхідність постійної змащування і охолодження
